scenario,model,seed,total_cost_mean,total_cost_std,operational_cost_mean,operational_cost_std,sustainability_mean,sustainability_std,bullwhip_mean,bullwhip_std,inv_turnover_mean,inv_turnover_std
Stable_Operations,M2: Vanilla PPO,42,16702029.874768052,256732.63339236923,16702029.874768052,256732.63339236923,0.5649378748018178,0.0006808260834001703,21.586661204392794,2.027423407537165,0.013926279574458657,0.00025211902075926245
Stable_Operations,M3: PPO + Priors,42,15342312.365927918,306060.36892310705,15342312.365927918,306060.36892310705,0.535886829397537,0.000897363857404425,28.033637434730167,3.036817755945862,0.01807081349420487,0.0007065072190915048
Stable_Operations,M1: Base-Stock,42,45282808.29030033,558605.7764679181,45282808.29030033,558605.7764679181,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.008799628829400573,0.00011994579397569445
Stable_Operations,M2: Vanilla PPO,123,20203646.431226563,252102.7131641747,20203646.431226563,252102.7131641747,0.6042488937425223,0.0008603221721337277,13.67698575453148,1.3981771505225107,0.013168723052955529,0.0002778638590291831
Stable_Operations,M3: PPO + Priors,123,15305051.593442999,337572.6891305653,15305051.593442999,337572.6891305653,0.4155194289892715,0.0032207537060967933,17.19422691464613,3.212839804484086,0.014822082855133615,0.00032893016267313674
Stable_Operations,M1: Base-Stock,123,45216400.2700214,590329.202705025,45216400.2700214,590329.202705025,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.008815879527142415,0.00012635651437406425
Stable_Operations,M2: Vanilla PPO,456,25459395.774272267,312835.90574303776,25459395.774272267,312835.90574303776,0.6513215134687234,0.001113001913018671,10.222907089550047,1.1601443886027023,0.011142972613620888,0.00019242237314880098
Stable_Operations,M3: PPO + Priors,456,18483881.766065992,245590.72755268568,18483881.766065992,245590.72755268568,0.7061827295376071,0.0030342556055714025,11.353998757803346,0.9815233752630256,0.012906115925839576,0.00020908213064902106
Stable_Operations,M1: Base-Stock,456,45297284.42801121,477687.4096045932,45297284.42801121,477687.4096045932,0.5728416572363257,1.1102230246251565e-16,0.0,0.0,0.008800152950011022,0.00010367972935093457
High_Volatility,M2: Vanilla PPO,42,10688790.63145074,475088.218689849,10688790.63145074,475088.218689849,0.668310783861006,0.003523622112706803,0.2151580798962771,0.029738891932365452,0.02581483357132333,0.0011673666458285501
High_Volatility,M3: PPO + Priors,42,9498692.989996783,1924139.7166288986,9498692.989996783,1924139.7166288986,0.5355416490547429,0.008664611271557631,0.21142010017007568,0.05955309978279434,0.05947202742874971,0.00923957566573033
