seed,scenario,model,episode,total_cost,sustainability_score,bullwhip_ratio,inv_turnover
42,Stable_Operations,M2: Vanilla PPO,0,16764178.412868738,0.5643731659489478,20.735025289736683,0.013819630871703329
42,Stable_Operations,M2: Vanilla PPO,1,16531249.393223166,0.564023811146921,21.54527136624624,0.013835737073989244
42,Stable_Operations,M2: Vanilla PPO,2,16844001.97107202,0.5650285384380537,23.349186884257215,0.013982482124005387
42,Stable_Operations,M2: Vanilla PPO,3,16537409.967184067,0.5652674272977684,20.80003439843404,0.01409192331057452
42,Stable_Operations,M2: Vanilla PPO,4,16736241.092106164,0.5641145291427768,20.722131150755136,0.013776740132454906
42,Stable_Operations,M2: Vanilla PPO,5,16406270.431678593,0.5650770593705603,18.178516029755,0.013944133747994657
42,Stable_Operations,M2: Vanilla PPO,6,16824672.966814578,0.564963125744952,22.812803802963053,0.013928471669055635
42,Stable_Operations,M2: Vanilla PPO,7,16338083.65046966,0.565602229113991,25.812186830610706,0.014236838812788045
42,Stable_Operations,M2: Vanilla PPO,8,16795847.861181915,0.5651542972588033,19.9452151248286,0.013705866736713207
42,Stable_Operations,M2: Vanilla PPO,9,16630105.02362591,0.566150224082323,20.12095375181968,0.0140342453495446
42,Stable_Operations,M2: Vanilla PPO,10,16611235.654751897,0.5646439190433807,18.95019528644596,0.013931637707380245
42,Stable_Operations,M2: Vanilla PPO,11,16842267.82592696,0.5645106058142081,21.560320601788106,0.013876235462268844
42,Stable_Operations,M2: Vanilla PPO,12,16125375.395700216,0.5653880654495145,21.60276569243296,0.014395825533163955
42,Stable_Operations,M2: Vanilla PPO,13,16980723.0415017,0.5645490514467075,22.946561626482744,0.01349987711678536
42,Stable_Operations,M2: Vanilla PPO,14,16766167.383525372,0.5647340892614657,22.65880370212917,0.014003711817868511
42,Stable_Operations,M2: Vanilla PPO,15,17533860.45822972,0.5644011834939698,25.6181439483725,0.01340020041736684
42,Stable_Operations,M2: Vanilla PPO,16,16584060.916671634,0.5656258223382253,22.532710913962543,0.013997027296219225
42,Stable_Operations,M2: Vanilla PPO,17,16317225.428433478,0.565250490932019,21.52248568754572,0.014296630054439458
42,Stable_Operations,M2: Vanilla PPO,18,16361496.810270548,0.5657198431445956,20.53914136017292,0.014277022920361872
42,Stable_Operations,M2: Vanilla PPO,19,16900139.913517058,0.5640278947470588,24.350626169636513,0.013899794003403618
42,Stable_Operations,M2: Vanilla PPO,20,16957424.62300569,0.5635637695448275,21.294007980780833,0.01345052204359769
42,Stable_Operations,M2: Vanilla PPO,21,16644765.309254706,0.5643395379535074,22.967038323402665,0.014159279007199689
