seed,scenario,model,episode,total_cost,operational_cost,daily_sustain_net,sustainability_score,bullwhip_ratio,inv_turnover
42,Systemic_Shock,M2: Vanilla PPO,0,4059193.2006901503,4059193.2006901503,42538.0405551642,0.8540568798463368,8.350819862893985,0.31180619096711915
42,Systemic_Shock,M2: Vanilla PPO,1,3286880.6771779656,3286880.6771779656,42687.74108910718,0.8528652445769562,8.455393160483462,0.321704121887722
42,Systemic_Shock,M2: Vanilla PPO,2,2976718.6193707585,2976718.6193707585,42781.42329862368,0.8536585605465868,8.63468286524286,0.3167782746270415
42,Systemic_Shock,M2: Vanilla PPO,3,4462836.473036587,4462836.473036587,42446.15498016091,0.8538294558429018,8.624950583324312,0.30588690833688836
42,Systemic_Shock,M2: Vanilla PPO,4,3857360.999931097,3857360.999931097,41297.38151915592,0.8527912038261244,7.882094770362566,0.31412393440419983
42,Systemic_Shock,M2: Vanilla PPO,5,4311499.773051977,4311499.773051977,42332.52525368186,0.853699759644365,8.344160304136595,0.29223851489506225
42,Systemic_Shock,M2: Vanilla PPO,6,3265111.349801898,3265111.349801898,40900.65097480957,0.8538241367635898,8.57062164529367,0.31547572677101166
42,Systemic_Shock,M2: Vanilla PPO,7,4839142.322438598,4839142.322438598,43436.67299336397,0.8533096985514215,8.668627585950185,0.33098933630512134
42,Systemic_Shock,M2: Vanilla PPO,8,4307522.049040616,4307522.049040616,43777.43862875033,0.8535008636035721,8.805254901335033,0.3232553900682341
42,Systemic_Shock,M2: Vanilla PPO,9,3876124.785674393,3876124.785674393,42733.48285428054,0.8535824858485384,8.917063586085591,0.30882984734187335
42,Systemic_Shock,M2: Vanilla PPO,10,2978449.718031585,2978449.718031585,42947.01492076475,0.8551171149192086,9.152269415521152,0.31071305036098607
42,Systemic_Shock,M2: Vanilla PPO,11,4093040.042611718,4093040.042611718,43267.533396855295,0.8551905702465364,8.60476862884262,0.30844649836004634
42,Systemic_Shock,M2: Vanilla PPO,12,5488041.492608607,5488041.492608607,41714.8139856431,0.8527759593915358,9.990291725229467,0.32955110232407436
42,Systemic_Shock,M2: Vanilla PPO,13,3579650.756332755,3579650.756332755,41138.95558522764,0.8538685501285458,9.329239238570697,0.30574877316583865
42,Systemic_Shock,M2: Vanilla PPO,14,4267791.804432988,4267791.804432988,42672.708079256874,0.8534092125072428,8.778935577806934,0.33230286586107954
42,Systemic_Shock,M2: Vanilla PPO,15,4200407.867003977,4200407.867003977,42749.615817306854,0.8538421655950397,8.274228217894883,0.3170255666332547
42,Systemic_Shock,M2: Vanilla PPO,16,3863595.297475219,3863595.297475219,41711.40128527053,0.8533953891848868,9.539501284594143,0.3122807146823542
42,Systemic_Shock,M2: Vanilla PPO,17,3729281.9851445556,3729281.9851445556,42696.126689983124,0.8533124999136695,8.817041116486957,0.32327893875743396
42,Systemic_Shock,M2: Vanilla PPO,18,3422955.3078460693,3422955.3078460693,42446.6605517939,0.85409123839263,8.083732933600963,0.316915975958333
42,Systemic_Shock,M2: Vanilla PPO,19,4975253.686440885,4975253.686440885,41952.02567433303,0.8534705476628831,8.166465284853883,0.324742281001598
42,Systemic_Shock,M2: Vanilla PPO,20,3830019.2676992416,3830019.2676992416,42924.42093730136,0.8542731953812287,8.858649946353442,0.3178593807389202
42,Systemic_Shock,M2: Vanilla PPO,21,2975815.8601228,2975815.8601228,40860.5000106425,0.8532063829491516,8.282902100030698,0.3193803322323289
42,Systemic_Shock,M2: Vanilla PPO,22,3640100.530692041,3640100.530692041,42803.69824150722,0.8540004413772518,8.552475531129584,0.3095670382568786
42,Systemic_Shock,M2: Vanilla PPO,23,4417145.922820091,4417145.922820091,42561.52510111942,0.8530046438456286,9.435457063927252,0.3269142160528518
42,Systemic_Shock,M2: Vanilla PPO,24,5305046.584399164,5305046.584399164,42918.67159506417,0.8531751144737756,7.950641912476312,0.343680252983673
42,Systemic_Shock,M2: Vanilla PPO,25,3547110.9922752976,3547110.9922752976,42655.19418517278,0.854405994363713,8.243933836110575,0.3037798528662987
42,Systemic_Shock,M2: Vanilla PPO,26,2633799.4441801906,2633799.4441801906,42918.950150362136,0.8539671198848994,8.903725550714139,0.31096591426121645
42,Systemic_Shock,M2: Vanilla PPO,27,4336762.784485221,4336762.784485221,44212.64032156607,0.8535187747238329,9.133412904539147,0.31795979283131853
42,Systemic_Shock,M2: Vanilla PPO,28,3356536.3793522716,3356536.3793522716,41458.61387247595,0.8531480285471421,7.648159466182821,0.2971863816216672
42,Systemic_Shock,M2: Vanilla PPO,29,4142171.4708981514,4142171.4708981514,41807.19274464028,0.8536431054678852,8.542676181482104,0.3243634484776848
42,Systemic_Shock,M2: Vanilla PPO,30,2729635.0453852415,2729635.0453852415,42335.81383933925,0.8543649663775312,8.536704399732573,0.2971638523898866
42,Systemic_Shock,M2: Vanilla PPO,31,3051799.521645546,3051799.521645546,43596.09213325073,0.8543215788863137,8.483306774122976,0.30500517982635367
42,Systemic_Shock,M2: Vanilla PPO,32,2806606.099196255,2806606.099196255,42411.26155378997,0.8549301235356576,9.7821671304327,0.3109210724423224
42,Systemic_Shock,M2: Vanilla PPO,33,4318336.848558903,4318336.848558903,43831.69865991297,0.8544328608318893,9.725164400071604,0.32199751657712167
42,Systemic_Shock,M2: Vanilla PPO,34,4424355.6894696355,4424355.6894696355,41710.04472135142,0.8531151246016297,8.46322439099988,0.32478705740023983
42,Systemic_Shock,M2: Vanilla PPO,35,5160287.60462141,5160287.60462141,43011.62831031721,0.8530313933569725,8.541599029487129,0.3376636439212464
42,Systemic_Shock,M2: Vanilla PPO,36,4165515.887592435,4165515.887592435,41040.26823478413,0.8538870834753371,9.299178270201665,0.3177526214229096
42,Systemic_Shock,M2: Vanilla PPO,37,4167939.7627544403,4167939.7627544403,43220.238779887215,0.8537404883972217,8.784920824402395,0.3182612203323245
42,Systemic_Shock,M2: Vanilla PPO,38,3976834.28352201,3976834.28352201,43571.56073192502,0.8534408421298406,8.936387974807891,0.3074510775376793
42,Systemic_Shock,M2: Vanilla PPO,39,3952594.480951667,3952594.480951667,42180.87047090161,0.8536488030545891,9.042624504001761,0.3135328064871026
42,Systemic_Shock,M2: Vanilla PPO,40,3746322.5776108503,3746322.5776108503,42184.8871448044,0.853249500749461,8.90254139297482,0.30854181335876707
42,Systemic_Shock,M2: Vanilla PPO,41,3776434.9739148617,3776434.9739148617,43750.37702583421,0.8543309559754265,9.225884094072681,0.31789369497319797
42,Systemic_Shock,M2: Vanilla PPO,42,3165066.3249352574,3165066.3249352574,42289.783382350884,0.8538021635248227,9.757909932439716,0.31915544214714986
42,Systemic_Shock,M2: Vanilla PPO,43,3938734.524910748,3938734.524910748,43769.965265663726,0.8550420271992716,8.273004352293286,0.3247722211240708
42,Systemic_Shock,M2: Vanilla PPO,44,4014660.7073079944,4014660.7073079944,43316.1678589817,0.8540091805158596,8.367246838860043,0.3211660004755258
42,Systemic_Shock,M2: Vanilla PPO,45,3692453.8291490674,3692453.8291490674,44232.653790665565,0.8541280175042673,7.793020102074479,0.3162029711681466
42,Systemic_Shock,M2: Vanilla PPO,46,3610817.538308382,3610817.538308382,42909.093520424074,0.8541342121610804,7.992625891363187,0.31744845156156226
42,Systemic_Shock,M2: Vanilla PPO,47,4397411.631597102,4397411.631597102,42949.60475034023,0.8540564236261782,8.871460334162489,0.31537758068217164
42,Systemic_Shock,M2: Vanilla PPO,48,4187820.7450770736,4187820.7450770736,42712.510114977464,0.8545318896172126,8.899616489707496,0.32559278117307666
42,Systemic_Shock,M2: Vanilla PPO,49,3768094.0023513436,3768094.0023513436,41827.92130083245,0.853337112344173,8.083395419559764,0.3107176945408588
