step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
1000,44369.8869,18051.1162,0.9866,0.010000,0
2000,98501.6121,53813.6066,1.0000,0.010000,0
3000,135106.2458,81137.8060,0.9818,0.010000,0
4000,46925.7312,21319.6300,1.0000,0.010000,0
5000,103922.7754,57639.1916,1.0000,0.010000,0
6000,128098.2762,77230.9216,0.9851,0.010000,0
7000,51326.1761,23980.4586,1.0000,0.010000,0
8000,107478.0217,59830.5727,1.0000,0.010000,0
9000,119439.2704,70545.3976,0.9843,0.010000,0
10000,56335.3122,26891.5581,1.0000,0.010000,0
11000,110678.6271,62596.2449,1.0000,0.010000,0
12000,107678.6383,64901.5150,0.9859,0.010000,0
13000,61070.2438,29481.0297,1.0000,0.010000,0
14000,115435.0054,64813.1694,1.0000,0.010000,0
15000,102316.4600,58949.2755,0.9829,0.010000,0
16000,65365.0422,32260.0887,1.0000,0.010000,0
17000,117176.4762,67084.1776,1.0000,0.010000,0
18000,91897.3618,53122.9891,0.9886,0.010000,0
19000,70816.4154,34917.1789,1.0000,0.010000,0
20000,121633.9352,70271.7277,1.0000,0.010000,0
21000,83637.4096,47540.1747,0.9853,0.010000,0
22000,76121.0142,38256.3948,1.0000,0.010000,0
23000,127852.6304,74059.4196,1.0000,0.010000,0
24000,78622.6468,42651.5301,0.9803,0.010000,0
25000,78916.5282,40352.6654,1.0000,0.010000,0
26000,127131.9738,75533.5375,1.0000,0.010000,0
27000,68350.2230,36909.7236,0.9852,0.010000,0
28000,81957.5526,43865.2695,1.0000,0.010000,0
29000,130540.1967,79651.4143,1.0000,0.010000,0
30000,62025.4708,31771.0823,0.9853,0.010000,0
31000,86672.8089,46547.5867,1.0000,0.010000,0
32000,131953.9131,81950.6490,1.0000,0.010000,0
33000,54160.8079,26021.6513,0.9846,0.010000,0
34000,91226.0658,49878.1578,1.0000,0.010000,0
35000,137128.6644,86700.7380,1.0000,0.010000,0
36000,48020.1094,21200.4647,0.9826,0.010000,0
37000,99429.4652,53575.2659,1.0000,0.010000,0
38000,143140.0933,85923.7791,0.9845,0.010000,0
39000,43228.8206,19954.7268,1.0000,0.010000,0
40000,99450.4267,56270.8786,1.0000,0.010000,0
41000,129728.4422,80189.9528,0.9864,0.010000,0
42000,49155.7175,22430.9208,1.0000,0.010000,0
43000,105343.5593,58462.3824,1.0000,0.010000,0
44000,124198.0567,74080.8843,0.9823,0.010000,0
45000,55750.1716,25714.4269,1.0000,0.010000,0
46000,110334.6376,61453.3206,1.0000,0.010000,0
47000,114434.2829,68316.4476,0.9873,0.010000,0
48000,58541.0867,28151.3896,1.0000,0.010000,0
49000,113259.1866,64658.0392,1.0000,0.010000,0
50000,107267.4858,62990.5367,0.9808,0.010000,0
51000,65101.6170,31241.1278,1.0000,0.010000,0
52000,119458.8308,67469.6938,1.0000,0.010000,0
53000,98767.8981,57174.1223,0.9841,0.010000,0
54000,70268.4484,34266.2447,1.0000,0.010000,0
55000,122963.5346,70741.8477,1.0000,0.010000,0
56000,90863.8154,51848.7991,0.9875,0.010000,0
57000,72462.5279,36711.8871,1.0000,0.010000,0
58000,123638.3737,72933.5362,1.0000,0.010000,0
59000,82372.7227,46157.8021,0.9887,0.010000,0
60000,79338.9648,40128.9170,1.0000,0.010000,0
61000,130680.0641,76227.7160,1.0000,0.010000,0
62000,74970.1042,40512.5808,0.9847,0.010000,0
63000,81615.5087,42686.6491,1.0000,0.010000,0
64000,132102.3410,78576.4357,1.0000,0.010000,0
65000,66952.1361,34726.8955,0.9831,0.010000,0
66000,85976.9173,45661.0182,1.0000,0.010000,0
67000,136080.7123,81826.9399,1.0000,0.010000,0
68000,59730.0786,28934.1785,0.9845,0.010000,0
69000,91469.0246,47533.2860,1.0000,0.010000,0
70000,139307.3889,83092.2753,1.0000,0.010000,0
71000,50881.4970,23564.3257,0.9840,0.010000,0
72000,93130.0911,50819.4988,1.0000,0.010000,0
73000,141260.6144,86768.7020,1.0000,0.010000,0
74000,45145.2927,18034.9267,0.9830,0.010000,0
75000,99983.4245,53893.0902,1.0000,0.010000,0
76000,136640.4568,81021.9827,0.9834,0.010000,0
77000,47261.3029,20833.6347,1.0000,0.010000,0
78000,103081.7889,56401.8588,1.0000,0.010000,0
79000,128790.9866,75434.0918,0.9820,0.010000,0
80000,53162.0894,23898.5298,1.0000,0.010000,0
81000,111177.1002,60685.6391,1.0000,0.010000,0
82000,122435.4410,71647.1178,0.9854,0.010000,0
83000,56808.8921,26649.9906,1.0000,0.010000,0
84000,110993.5197,62296.6374,1.0000,0.010000,0
85000,110691.5266,64633.0590,0.9788,0.010000,0
86000,61604.1149,29456.2137,1.0000,0.010000,0
87000,115575.7557,64903.0888,1.0000,0.010000,0
88000,101658.4880,58736.3402,0.9874,0.010000,0
89000,65495.3815,31931.4332,1.0000,0.010000,0
90000,119498.1409,67503.8569,1.0000,0.010000,0
91000,95110.9883,53310.7233,0.9860,0.010000,0
92000,71645.2046,35387.8740,1.0000,0.010000,0
93000,124724.1847,70511.1947,1.0000,0.010000,0
94000,86903.3257,47916.1179,0.9821,0.010000,0
95000,76458.9507,38111.2993,1.0000,0.010000,0
96000,127967.8496,74028.6253,1.0000,0.010000,0
97000,78361.1244,43090.0481,0.9871,0.010000,0
98000,79675.3459,40949.1538,1.0000,0.010000,0
99000,130561.1825,76681.5777,1.0000,0.010000,0
100000,69595.5690,37358.1439,0.9847,0.010000,0
101000,82832.7088,44301.7097,1.0000,0.010000,0
102000,130793.3766,79833.4473,1.0000,0.010000,0
103000,62175.9484,31773.9773,0.9853,0.010000,0
104000,88809.7913,46227.3977,1.0000,0.010000,0
105000,136979.5515,82087.6058,1.0000,0.010000,0
106000,55196.8246,26275.6495,0.9829,0.010000,0
107000,93549.4284,49984.0091,1.0000,0.010000,0
108000,140445.6743,86047.3645,1.0000,0.010000,0
109000,49663.3374,21378.2002,0.9836,0.010000,0
110000,99948.8091,53155.3077,1.0000,0.010000,0
111000,143809.8683,84785.8951,0.9861,0.010000,0
112000,45685.4637,19411.2454,0.9989,0.010000,0
113000,103128.9751,55285.2692,1.0000,0.010000,0
114000,133938.2798,78496.3472,0.9820,0.010000,0
115000,48966.0535,22147.0719,1.0000,0.010000,0
116000,106024.6010,58350.3479,1.0000,0.010000,0
117000,123464.3999,73426.7779,0.9824,0.010000,0
118000,55421.1149,25615.0726,1.0000,0.010000,0
119000,111560.5914,61722.0466,1.0000,0.010000,0
120000,115354.7906,67984.2477,0.9845,0.010000,0
121000,57707.8483,28227.7857,1.0000,0.010000,0
122000,112042.9188,63803.9445,1.0000,0.010000,0
123000,104017.5453,61910.6619,0.9843,0.010000,0
124000,64217.4974,31224.5177,1.0000,0.010000,0
125000,114812.2141,67339.6582,1.0000,0.010000,0
126000,95372.7901,56764.8845,0.9826,0.010000,0
127000,66761.1445,33537.5396,1.0000,0.010000,0
128000,118604.0470,69036.0505,1.0000,0.010000,0
129000,89322.8196,50643.3352,0.9841,0.010000,0
130000,73367.7674,36088.1442,1.0000,0.010000,0
131000,122961.2238,70973.0670,1.0000,0.010000,0
132000,81734.4193,44862.7513,0.9851,0.010000,0
133000,78764.6754,40005.6252,1.0000,0.010000,0
134000,127438.4824,76311.4054,1.0000,0.010000,0
135000,73495.8994,40622.9269,0.9862,0.010000,0
136000,80442.7014,43112.6817,1.0000,0.010000,0
137000,128987.6520,79600.5384,1.0000,0.010000,0
138000,66174.3974,35088.8894,0.9836,0.010000,0
139000,85401.9546,46441.0904,1.0000,0.010000,0
140000,132352.7658,82707.0172,1.0000,0.010000,0
141000,58319.9287,29550.4712,0.9837,0.010000,0
142000,89530.7593,49257.7933,1.0000,0.010000,0
143000,136841.5010,86098.3923,1.0000,0.010000,0
144000,51822.7503,24059.9917,0.9812,0.010000,0
145000,94538.4378,51988.1028,1.0000,0.010000,0
146000,140589.4587,88601.6914,1.0000,0.010000,0
147000,43827.2153,18398.7954,0.9883,0.010000,0
148000,99548.3149,54878.5388,1.0000,0.010000,0
149000,136484.6140,82911.1715,0.9852,0.010000,0
150000,46634.9788,21250.5795,1.0000,0.010000,0
151000,102550.9023,57974.4809,1.0000,0.010000,0
152000,123775.2418,77365.6019,0.9816,0.010000,0
153000,51640.4290,23972.9071,1.0000,0.010000,0
154000,107979.5114,60984.4420,1.0000,0.010000,0
155000,118206.8939,72342.1300,0.9860,0.010000,0
156000,57261.8383,26922.6642,1.0000,0.010000,0
157000,113425.3250,64225.3941,1.0000,0.010000,0
158000,112395.8088,66414.9370,0.9808,0.010000,0
159000,59581.2218,29790.0146,1.0000,0.010000,0
160000,113530.5145,66899.4162,1.0000,0.010000,0
161000,101704.4724,60483.2809,0.9834,0.010000,0
162000,66128.1287,32681.9020,1.0000,0.010000,0
163000,120817.5133,69816.9679,1.0000,0.010000,0
164000,96332.3817,55370.2738,0.9810,0.010000,0
165000,72560.6075,36471.1223,1.0000,0.010000,0
166000,127512.2023,74061.7216,1.0000,0.010000,0
167000,90019.2691,50305.3652,0.9840,0.010000,0
168000,76361.4956,39932.5212,1.0000,0.010000,0
169000,129512.9717,77730.8529,1.0000,0.010000,0
170000,80138.3386,44808.5255,0.9828,0.010000,0
171000,82320.3198,43057.5570,1.0000,0.010000,0
172000,136340.4863,80838.6689,1.0000,0.010000,0
173000,72345.9910,39077.3565,0.9813,0.010000,0
174000,86820.9154,45828.1018,1.0000,0.010000,0
175000,139325.2431,83940.5976,1.0000,0.010000,0
176000,64152.9191,33302.5468,0.9833,0.010000,0
177000,90550.7152,48977.9070,1.0000,0.010000,0
178000,142053.1261,86143.8994,1.0000,0.010000,0
179000,56873.5408,27237.6357,0.9812,0.010000,0
180000,94574.0911,51884.1551,1.0000,0.010000,0
181000,143822.6322,90271.5866,1.0000,0.010000,0
182000,48122.4130,21681.0764,0.9843,0.010000,0
183000,97803.1716,54585.3709,1.0000,0.010000,0
184000,140219.7042,87314.4838,0.9889,0.010000,0
185000,42886.4682,19874.3155,1.0000,0.010000,0
186000,100359.8098,57544.3776,1.0000,0.010000,0
187000,131218.0377,82056.8701,0.9830,0.010000,0
188000,49035.7816,22756.4883,1.0000,0.010000,0
189000,105920.4683,60086.4583,1.0000,0.010000,0
190000,123916.2648,75680.8600,0.9843,0.010000,0
191000,53940.3726,26484.6439,1.0000,0.010000,0
192000,109193.8734,63529.2886,1.0000,0.010000,0
193000,115624.6811,70241.2518,0.9813,0.010000,0
