seed,scenario,model,episode,total_cost,operational_cost,daily_sustain_net,sustainability_score,bullwhip_ratio,inv_turnover
123,High_Volatility,M3: PPO + Priors,0,8160693.816736698,8160693.816736698,41922.51040404176,0.6541037349843458,0.20631651420332017,0.034724857824540205
123,High_Volatility,M3: PPO + Priors,1,8287114.133881092,8287114.133881092,43453.71151346176,0.6534952412015556,0.27683747241373224,0.03320537421097631
123,High_Volatility,M3: PPO + Priors,2,15570159.7176556,15570159.7176556,52073.01353305826,0.6299414623081114,0.7809391766763456,0.02742266922787753
123,High_Volatility,M3: PPO + Priors,3,11632068.09530896,11632068.09530896,47269.008130182316,0.640281315088972,0.5377402543018072,0.03362192802932414
123,High_Volatility,M3: PPO + Priors,4,15432862.73403138,15432862.73403138,50522.58687048073,0.6332249968180884,0.5115180417465055,0.03347590357093681
123,High_Volatility,M3: PPO + Priors,5,15661406.94224602,15661406.94224602,51609.04635093167,0.6312887064880583,0.7034648331349148,0.026633379636023604
123,High_Volatility,M3: PPO + Priors,6,10552531.175247014,10552531.175247014,49062.55794758494,0.6386561545084778,0.4939943713983999,0.030578946367691418
123,High_Volatility,M3: PPO + Priors,7,8780070.134873092,8780070.134873092,47316.4221761863,0.6423935254409694,0.47220943203386356,0.03174898107172656
123,High_Volatility,M3: PPO + Priors,8,10618658.76609385,10618658.76609385,48585.10669404449,0.637214211790103,0.4966032357027763,0.031301988797495406
123,High_Volatility,M3: PPO + Priors,9,11852459.618409157,11852459.618409157,52737.1179162867,0.6290710691922535,0.5385502177174626,0.025164678445260474
123,High_Volatility,M3: PPO + Priors,10,8158842.947733641,8158842.947733641,42309.491892132006,0.6540866661375462,0.24776771075677576,0.03443274161419364
123,High_Volatility,M3: PPO + Priors,11,13251588.959446013,13251588.959446013,50082.34061532122,0.6351381150402539,0.5837310033058827,0.03022269109136682
123,High_Volatility,M3: PPO + Priors,12,8560865.328253627,8560865.328253627,46547.78202975423,0.6434894559739642,0.4793213197044586,0.032817657949343965
123,High_Volatility,M3: PPO + Priors,13,12587100.943645895,12587100.943645895,49857.83844961479,0.6369832156737671,0.5249740000959143,0.030573490876122916
123,High_Volatility,M3: PPO + Priors,14,7900594.8857803345,7900594.8857803345,40760.638900430786,0.6578852398395165,0.21940778556902654,0.038114458124063604
123,High_Volatility,M3: PPO + Priors,15,9186233.522346556,9186233.522346556,45363.73318584214,0.6428348221066084,0.4441429792888617,0.03584266057030523
123,High_Volatility,M3: PPO + Priors,16,16960820.690806687,16960820.690806687,52638.645182550325,0.6296606998040606,0.7421727572327748,0.027275711246270495
123,High_Volatility,M3: PPO + Priors,17,11832990.75038141,11832990.75038141,48414.30585087052,0.6355514918223826,0.6081275967649299,0.030274672013805307
123,High_Volatility,M3: PPO + Priors,18,8409284.690040588,8409284.690040588,44846.53240376557,0.6480781711941878,0.28785828527889834,0.03380572081098939
123,High_Volatility,M3: PPO + Priors,19,9122183.952341914,9122183.952341914,48820.20658320366,0.6375694746602864,0.4359743711525852,0.028748535447505337
123,High_Volatility,M3: PPO + Priors,20,8946517.201633215,8946517.201633215,44822.09623478767,0.6499145026580078,0.3166323332243893,0.03848398090317293
123,High_Volatility,M3: PPO + Priors,21,9950902.681610227,9950902.681610227,46344.929538763405,0.6431203079227721,0.41274972973489615,0.03401349465219467
123,High_Volatility,M3: PPO + Priors,22,8504701.85182184,8504701.85182184,46920.757713674175,0.6424461214880123,0.42855857943491243,0.03300526202757373
123,High_Volatility,M3: PPO + Priors,23,8751560.312830567,8751560.312830567,45268.90381452696,0.6453918072536636,0.41070008791947654,0.032614014299665324
123,High_Volatility,M3: PPO + Priors,24,7675834.059727907,7675834.059727907,43220.22850916065,0.6525187288592561,0.3209479286308788,0.03486528007431192
123,High_Volatility,M3: PPO + Priors,25,18882236.74927056,18882236.74927056,53561.3486443567,0.627745937530426,0.647786423722131,0.0269097125054924
123,High_Volatility,M3: PPO + Priors,26,7635978.042482138,7635978.042482138,41182.91391676342,0.6545623392681025,0.2137923205585817,0.03863563061854481
123,High_Volatility,M3: PPO + Priors,27,15091250.307059944,15091250.307059944,52054.01971456268,0.6307943541443485,0.6537307653320409,0.02784871621266074
123,High_Volatility,M3: PPO + Priors,28,9186655.383793116,9186655.383793116,44139.317097559426,0.654068340320932,0.2897704987150312,0.033350353267065494
123,High_Volatility,M3: PPO + Priors,29,17935633.189846575,17935633.189846575,52977.433537002435,0.6285699038496287,0.7578124344707278,0.027312532626224167
123,High_Volatility,M3: PPO + Priors,30,13238265.43025124,13238265.43025124,50509.064192639686,0.6330225751803298,0.649707415162091,0.02841192400934031
123,High_Volatility,M3: PPO + Priors,31,9252363.813474238,9252363.813474238,48848.27069272912,0.6399443122454231,0.46338982139741075,0.030557641437747533
123,High_Volatility,M3: PPO + Priors,32,11982854.95313549,11982854.95313549,47546.68288457477,0.641902070003419,0.5522425423644824,0.0348987572483089
123,High_Volatility,M3: PPO + Priors,33,11144223.278599143,11144223.278599143,49252.34935924418,0.6383051091756403,0.5398920445909535,0.030759950402859542
123,High_Volatility,M3: PPO + Priors,34,16467956.547862709,16467956.547862709,52967.91319104062,0.6304659981267543,0.6992699394092169,0.028050496462113415
123,High_Volatility,M3: PPO + Priors,35,19952009.69933623,19952009.69933623,53845.262007167876,0.6271320361522982,0.6243233855168296,0.027230790343186238
123,High_Volatility,M3: PPO + Priors,36,9729174.153960526,9729174.153960526,48532.04534793272,0.6411656422030569,0.37961844405880074,0.02930515691913428
123,High_Volatility,M3: PPO + Priors,37,11814729.121551275,11814729.121551275,48103.81373958266,0.6366433345926271,0.6170825355492388,0.029704158290550193
123,High_Volatility,M3: PPO + Priors,38,13161058.79579413,13161058.79579413,50718.4225074964,0.6317394023037068,0.7011568498087578,0.028105766298944825
123,High_Volatility,M3: PPO + Priors,39,13238338.39279592,13238338.39279592,49241.86792842025,0.6361841858208837,0.5720834357623021,0.030748407308534176
123,High_Volatility,M3: PPO + Priors,40,16747358.85269636,16747358.85269636,50857.66269288427,0.6317500640662348,0.8100594833548019,0.02877968212367956
123,High_Volatility,M3: PPO + Priors,41,14099078.595766246,14099078.595766246,51387.862003984985,0.6307051760938263,0.733445774330928,0.026756064928595134
123,High_Volatility,M3: PPO + Priors,42,13161558.593655467,13161558.593655467,48823.31517985592,0.6366676622795217,0.6704974735413277,0.03209218315561022
123,High_Volatility,M3: PPO + Priors,43,8379657.919835091,8379657.919835091,43818.281166284585,0.6533118106534064,0.2918310434243385,0.036651505680686244
123,High_Volatility,M3: PPO + Priors,44,11835761.28842926,11835761.28842926,48969.59120656999,0.6406973723920877,0.4730943454135169,0.034488973534640276
123,High_Volatility,M3: PPO + Priors,45,10195446.093739212,10195446.093739212,49537.84630846541,0.6344534922235613,0.5453296069800756,0.02938854498164603
123,High_Volatility,M3: PPO + Priors,46,9086770.126178145,9086770.126178145,48512.08593482425,0.6383537756505376,0.5399374395424043,0.029918678150549657
123,High_Volatility,M3: PPO + Priors,47,9520005.145908296,9520005.145908296,51146.764170854156,0.6350264858709987,0.40729340464271824,0.029149931688055263
123,High_Volatility,M3: PPO + Priors,48,13398642.55476135,13398642.55476135,52865.74964937289,0.6295103722115417,0.6277312383189083,0.024626407786695607
123,High_Volatility,M3: PPO + Priors,49,17260740.771753132,17260740.771753132,52454.61921625736,0.6310521372630601,0.6676544167677456,0.027115807556472016
