seed,scenario,model,episode,total_cost,operational_cost,daily_sustain_net,sustainability_score,bullwhip_ratio,inv_turnover
123,Stable_Operations,M2: Vanilla PPO,0,20263448.30261761,20263448.30261761,30570.0301948557,0.6033025326231094,14.534151054365045,0.013171346540636758
123,Stable_Operations,M2: Vanilla PPO,1,20406549.85875058,20406549.85875058,30252.816666574356,0.6033195878933911,14.439353965900926,0.013329215718850995
123,Stable_Operations,M2: Vanilla PPO,2,20400409.187189102,20400409.187189102,30342.966648459507,0.6049502774725458,14.380800701660464,0.01302434895049559
123,Stable_Operations,M2: Vanilla PPO,3,20343303.860367358,20343303.860367358,30625.98294191838,0.6039146271675411,13.207637344893678,0.013181293869326132
123,Stable_Operations,M2: Vanilla PPO,4,19849216.973900676,19849216.973900676,31190.603018444464,0.6028759233927136,12.515941830366993,0.013447739505113725
123,Stable_Operations,M2: Vanilla PPO,5,19827775.72723508,19827775.72723508,30524.143630033443,0.602585163961332,14.023413252582033,0.013745291217199874
123,Stable_Operations,M2: Vanilla PPO,6,19898124.127941966,19898124.127941966,30717.54436049668,0.6046796502861824,12.488115067970597,0.013276810511083476
123,Stable_Operations,M2: Vanilla PPO,7,20211757.46708244,20211757.46708244,30359.093449727538,0.6046376666714702,14.919734776450372,0.01346134472826293
123,Stable_Operations,M2: Vanilla PPO,8,20166689.704247713,20166689.704247713,30395.86241728794,0.6038340533117524,12.650205446108254,0.013479030752013304
123,Stable_Operations,M2: Vanilla PPO,9,20200150.55974841,20200150.55974841,30699.363783509238,0.6046921847612106,12.145501433316097,0.013251416976724308
123,Stable_Operations,M2: Vanilla PPO,10,19629928.51527965,19629928.51527965,31069.584110990014,0.6044800770646928,12.958787095170125,0.013347001647287304
123,Stable_Operations,M2: Vanilla PPO,11,19861202.05855292,19861202.05855292,30692.14996038886,0.6043514643780408,13.380683989636214,0.013164615856726094
123,Stable_Operations,M2: Vanilla PPO,12,20114317.16103661,20114317.16103661,30747.43087237396,0.6036306220259718,12.62784050599372,0.012860773824180662
123,Stable_Operations,M2: Vanilla PPO,13,20306944.888136983,20306944.888136983,30734.010030033765,0.6046291799101623,12.363955077876325,0.012635279919287024
123,Stable_Operations,M2: Vanilla PPO,14,20591061.42736888,20591061.42736888,30558.46986584166,0.605585546249836,16.497822422107625,0.012723460980565164
123,Stable_Operations,M2: Vanilla PPO,15,20236669.657661557,20236669.657661557,30687.28330472862,0.6051127379655387,13.09723474415395,0.012954863479033948
123,Stable_Operations,M2: Vanilla PPO,16,20126820.074686944,20126820.074686944,30853.90723013821,0.6044866547935853,12.884422465650326,0.012963986116338158
123,Stable_Operations,M2: Vanilla PPO,17,20030265.345246553,20030265.345246553,31013.792108898993,0.6047501085814952,14.385600930349481,0.012938209772504101
123,Stable_Operations,M2: Vanilla PPO,18,20541878.056192935,20541878.056192935,30640.567178179124,0.6045958071411129,12.75242663219706,0.013061024570155684
123,Stable_Operations,M2: Vanilla PPO,19,19898910.14627409,19898910.14627409,30753.100574059983,0.60354931027538,12.280362604235508,0.013285253196773369
123,Stable_Operations,M2: Vanilla PPO,20,20131273.472645044,20131273.472645044,30637.145553238333,0.6031349329483701,13.758383083858584,0.013329513776918694
123,Stable_Operations,M2: Vanilla PPO,21,20184328.08875692,20184328.08875692,30702.588437261016,0.6043000275958734,14.693576308864415,0.013136828950285439
123,Stable_Operations,M2: Vanilla PPO,22,19906773.598648906,19906773.598648906,30731.26882758841,0.6037145658972656,16.84639221400195,0.013228779668493871
