step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
1000,43518.0088,18520.2533,0.9893,0.010000,0
2000,98681.3567,54486.6447,1.0000,0.010000,0
3000,136666.9294,82453.8542,0.9819,0.010000,0
4000,46359.0917,21034.9324,1.0000,0.010000,0
5000,103095.6722,56859.6524,1.0000,0.010000,0
6000,126361.4288,76080.3190,0.9846,0.010000,0
7000,52365.9955,23838.3835,1.0000,0.010000,0
8000,107496.2835,59216.7181,1.0000,0.010000,0
9000,119016.3508,70323.0896,0.9851,0.010000,0
10000,56239.7892,26694.8309,1.0000,0.010000,0
11000,111162.8020,62252.5454,1.0000,0.010000,0
12000,111681.6774,64984.1563,0.9851,0.010000,0
13000,60390.9783,29352.8382,1.0000,0.010000,0
14000,114403.6980,65223.1729,1.0000,0.010000,0
15000,101387.1175,59383.0082,0.9841,0.010000,0
16000,66474.7528,32493.8067,1.0000,0.010000,0
17000,119627.1807,68651.7748,1.0000,0.010000,0
18000,94132.3234,54219.5657,0.9874,0.010000,0
19000,71841.7150,35895.7511,1.0000,0.010000,0
20000,123295.9269,72074.6337,1.0000,0.010000,0
21000,85354.9918,48631.9781,0.9847,0.010000,0
22000,74984.1611,37917.0208,1.0000,0.010000,0
23000,125304.7152,73502.7795,1.0000,0.010000,0
24000,76561.0309,42620.3698,0.9855,0.010000,0
25000,79674.3374,41429.1693,1.0000,0.010000,0
26000,128062.6516,76861.3986,1.0000,0.010000,0
27000,69357.4471,37507.0176,0.9836,0.010000,0
28000,84139.6188,44342.3242,1.0000,0.010000,0
29000,133189.2230,80036.8566,1.0000,0.010000,0
30000,62166.6761,31860.6695,0.9835,0.010000,0
31000,87438.4614,46674.7329,1.0000,0.010000,0
32000,136674.5454,82248.0343,1.0000,0.010000,0
33000,54674.1524,26401.5985,0.9862,0.010000,0
34000,91029.8699,49106.8048,1.0000,0.010000,0
35000,138168.5178,85017.0816,1.0000,0.010000,0
36000,47520.5190,21072.2709,0.9832,0.010000,0
37000,95775.2723,53227.3707,1.0000,0.010000,0
38000,139950.5049,85238.1517,0.9839,0.010000,0
39000,43388.4170,19902.3632,0.9999,0.010000,0
40000,97669.7726,55433.7574,1.0000,0.010000,0
41000,126924.5209,78401.1180,0.9850,0.010000,0
42000,48070.9731,22305.1268,1.0000,0.010000,0
43000,102357.8808,57898.4837,1.0000,0.010000,0
44000,117834.5834,72587.1773,0.9832,0.010000,0
45000,53834.8272,25244.6615,1.0000,0.010000,0
46000,107697.0315,60587.5621,1.0000,0.010000,0
47000,111664.5501,66899.9887,0.9860,0.010000,0
48000,57672.0556,28365.9317,1.0000,0.010000,0
49000,109900.7441,63779.4552,1.0000,0.010000,0
50000,102393.1319,62011.5773,0.9859,0.010000,0
51000,65027.8013,32310.9682,1.0000,0.010000,0
52000,118891.3868,68834.2324,1.0000,0.010000,0
53000,99836.7018,58169.8211,0.9837,0.010000,0
54000,70366.7003,35644.9720,1.0000,0.010000,0
55000,121460.4250,71944.7792,1.0000,0.010000,0
56000,89911.0221,52434.1525,0.9818,0.010000,0
57000,71768.2425,37491.9941,1.0000,0.010000,0
58000,121995.6030,73585.9413,1.0000,0.010000,0
59000,82208.2647,46490.3291,0.9856,0.010000,0
60000,81042.3429,40786.9671,1.0000,0.010000,0
61000,133302.7449,77335.8401,1.0000,0.010000,0
62000,75863.9925,41138.6902,0.9847,0.010000,0
63000,82442.1784,43226.2127,1.0000,0.010000,0
64000,131560.0189,79498.3705,1.0000,0.010000,0
65000,66539.3852,35318.4464,0.9853,0.010000,0
66000,84124.7938,46176.0240,1.0000,0.010000,0
67000,132793.8100,83000.5877,1.0000,0.010000,0
68000,58278.2985,29963.1597,0.9874,0.010000,0
69000,90893.1289,49354.6033,1.0000,0.010000,0
70000,140226.1334,86234.6528,1.0000,0.010000,0
71000,52991.6378,24478.7262,0.9859,0.010000,0
72000,96379.1109,52727.1426,1.0000,0.010000,0
73000,141634.1512,89847.4557,1.0000,0.010000,0
74000,46190.4780,18720.2914,0.9815,0.010000,0
75000,103101.3274,56342.9269,1.0000,0.010000,0
76000,140757.9566,84599.8462,0.9840,0.010000,0
77000,45599.3866,22076.9354,1.0000,0.010000,0
78000,100293.6882,58733.0078,1.0000,0.010000,0
79000,125158.9699,78472.7490,0.9841,0.010000,0
80000,53399.5150,24948.7686,1.0000,0.010000,0
