step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
118000,61914.4391,23781.7214,1.0000,0.010000,0
119000,133886.8426,57312.4218,1.0000,0.010000,0
120000,145259.5268,63388.4032,0.9876,0.010000,0
121000,68669.7259,26435.0232,1.0000,0.010000,0
122000,140649.4212,60243.6747,1.0000,0.010000,0
123000,135329.7553,58765.7484,0.9841,0.010000,0
124000,72278.7162,29244.4188,1.0000,0.010000,0
125000,142414.2123,62727.8152,1.0000,0.010000,0
126000,122275.5294,53011.3059,0.9889,0.010000,0
127000,77970.1344,31459.6690,1.0000,0.010000,0
128000,148550.6114,65433.5791,1.0000,0.010000,0
129000,112462.4118,48074.8019,0.9853,0.010000,0
130000,86212.0297,34535.7926,1.0000,0.010000,0
131000,155370.6150,68328.8331,1.0000,0.010000,0
132000,102307.0976,42795.4910,0.9831,0.010000,0
133000,90568.3284,37360.0302,1.0000,0.010000,0
134000,160585.6284,71602.6549,1.0000,0.010000,0
135000,91075.5800,38060.8047,0.9880,0.010000,0
136000,96637.1733,40148.6950,1.0000,0.010000,0
137000,166493.7053,74052.1070,1.0000,0.010000,0
138000,79914.5807,32292.9241,0.9852,0.010000,0
139000,100743.5447,42565.4322,1.0000,0.010000,0
140000,169145.4945,76662.1409,1.0000,0.010000,0
141000,69812.0964,27372.5632,0.9839,0.010000,0
142000,109900.6514,45685.0268,1.0000,0.010000,0
143000,179264.5841,79699.6531,1.0000,0.010000,0
144000,58927.1940,22290.6558,0.9864,0.010000,0
145000,113559.2859,48417.2225,1.0000,0.010000,0
146000,180950.0788,81990.7087,1.0000,0.010000,0
147000,48750.2401,16889.4826,0.9818,0.010000,0
148000,118569.3778,50658.2381,1.0000,0.010000,0
149000,175193.9557,77319.4431,0.9862,0.010000,0
150000,54039.1879,20334.9624,1.0000,0.010000,0
151000,129307.7299,55191.4603,1.0000,0.010000,0
152000,168395.1578,73711.0269,0.9875,0.010000,0
153000,59496.0526,22873.7163,1.0000,0.010000,0
154000,133997.2974,57886.8406,1.0000,0.010000,0
155000,155022.1766,68319.4603,0.9837,0.010000,0
156000,65098.5416,25494.2719,1.0000,0.010000,0
157000,140318.1923,60432.2742,1.0000,0.010000,0
158000,144672.8153,62541.3253,0.9846,0.010000,0
159000,71064.3434,27905.0742,1.0000,0.010000,0
160000,144811.6743,62367.4360,1.0000,0.010000,0
161000,131794.7743,56579.0832,0.9845,0.010000,0
162000,77753.8828,31091.7088,1.0000,0.010000,0
163000,150977.8844,65388.6554,1.0000,0.010000,0
164000,121035.6436,51763.1275,0.9875,0.010000,0
165000,83293.6748,33711.7747,1.0000,0.010000,0
166000,155605.2390,67963.9248,1.0000,0.010000,0
167000,109071.9251,46093.9331,0.9867,0.010000,0
