step,total_cost,sustainability_score,service_level,entropy_coef,curriculum_stage
118000,49873.9513,24380.7481,1.0000,0.010000,0
119000,98880.3200,59011.1166,1.0000,0.010000,0
120000,104642.6782,65396.1090,0.9835,0.010000,0
121000,54059.9103,27052.0935,1.0000,0.010000,0
122000,104232.2521,61220.4643,1.0000,0.010000,0
123000,96325.6250,59235.6846,0.9862,0.010000,0
124000,58516.3174,29558.5776,1.0000,0.010000,0
125000,106387.3365,63918.9181,1.0000,0.010000,0
126000,91417.5280,54267.3222,0.9804,0.010000,0
127000,65013.2567,32467.9449,1.0000,0.010000,0
128000,112197.9256,66906.7090,1.0000,0.010000,0
129000,81903.4721,49322.0732,0.9824,0.010000,0
130000,66672.9762,35838.1261,1.0000,0.010000,0
131000,111500.2250,69871.3450,1.0000,0.010000,0
132000,74110.6950,43629.9681,0.9869,0.010000,0
133000,71887.6968,37320.6489,1.0000,0.010000,0
134000,115719.1006,71104.3084,1.0000,0.010000,0
135000,67887.1286,37973.5951,0.9811,0.010000,0
136000,74710.4944,40056.6368,1.0000,0.010000,0
137000,119817.3703,73405.1887,1.0000,0.010000,0
138000,60788.8381,32869.7154,0.9862,0.010000,0
139000,78669.0069,42928.1747,1.0000,0.010000,0
140000,121762.2789,76769.3310,1.0000,0.010000,0
141000,54082.7295,27824.7067,0.9838,0.010000,0
142000,81740.5162,45630.5836,1.0000,0.010000,0
143000,123231.5853,79042.0242,1.0000,0.010000,0
144000,47256.8662,22027.5607,0.9859,0.010000,0
145000,87410.5051,47820.9912,1.0000,0.010000,0
146000,129050.7871,81964.3577,1.0000,0.010000,0
147000,41127.8945,17194.6008,0.9880,0.010000,0
148000,89730.6691,50916.5510,1.0000,0.010000,0
149000,122249.3228,77015.6633,0.9864,0.010000,0
150000,42589.9887,19686.0370,1.0000,0.010000,0
151000,92898.5959,53070.3602,1.0000,0.010000,0
152000,115545.7219,71096.9456,0.9845,0.010000,0
153000,48381.7732,23166.0914,1.0000,0.010000,0
154000,98063.5456,57379.5246,1.0000,0.010000,0
155000,107693.9278,66761.4752,0.9825,0.010000,0
156000,52310.5816,25559.1732,1.0000,0.010000,0
157000,100025.9052,59373.3234,1.0000,0.010000,0
158000,97580.1121,61236.4534,0.9801,0.010000,0
159000,55631.5336,28485.5066,1.0000,0.010000,0
160000,102259.0704,61890.2825,1.0000,0.010000,0
161000,89253.2383,56045.6630,0.9877,0.010000,0
162000,59945.8783,29987.7771,1.0000,0.010000,0
163000,106181.4669,63016.2352,1.0000,0.010000,0
164000,84878.6156,50084.5784,0.9856,0.010000,0
165000,65988.7840,33806.3366,1.0000,0.010000,0
166000,111534.0662,67313.3048,1.0000,0.010000,0
167000,78164.5794,45615.4029,0.9830,0.010000,0
168000,69888.2284,36563.4809,1.0000,0.010000,0
169000,115291.0676,70624.9413,1.0000,0.010000,0
170000,70857.6985,40733.3778,0.9845,0.010000,0
171000,73833.0906,39022.0751,1.0000,0.010000,0
172000,119168.5993,72797.5228,1.0000,0.010000,0
173000,64563.3594,35443.4321,0.9839,0.010000,0
174000,77849.3865,41788.5013,1.0000,0.010000,0
175000,121056.3255,75720.4762,1.0000,0.010000,0
176000,58652.8743,30143.2098,0.9797,0.010000,0
177000,80704.8734,44164.5700,1.0000,0.010000,0
178000,123716.6308,78150.1086,1.0000,0.010000,0
179000,50883.3787,25050.5383,0.9861,0.010000,0
180000,86403.8533,47034.8864,1.0000,0.010000,0
181000,126868.7735,80667.3272,1.0000,0.010000,0
182000,43617.6669,19594.0200,0.9838,0.010000,0
183000,88099.8692,49108.7473,1.0000,0.010000,0
184000,123718.7419,78890.4119,0.9872,0.010000,0
185000,40432.4356,18195.8343,1.0000,0.010000,0
186000,92600.9451,51647.6610,1.0000,0.010000,0
187000,119589.2319,73332.7859,0.9813,0.010000,0
188000,44446.6456,20740.9019,1.0000,0.010000,0
189000,94747.3934,54150.4697,1.0000,0.010000,0
190000,110259.8042,68001.4714,0.9847,0.010000,0
191000,49971.8429,23960.2518,1.0000,0.010000,0
192000,98505.7423,57518.0900,1.0000,0.010000,0
193000,103140.7832,63506.0289,0.9832,0.010000,0
194000,54283.7475,26122.0825,1.0000,0.010000,0
195000,102802.4495,60128.2010,1.0000,0.010000,0
196000,96884.8258,58515.3034,0.9816,0.010000,0
197000,58412.1594,28845.2007,1.0000,0.010000,0
