seed,scenario,model,episode,total_cost,operational_cost,daily_sustain_net,sustainability_score,bullwhip_ratio,inv_turnover
123,High_Volatility,M1: Base-Stock,0,33713564.94477081,33713564.94477081,104711.15001459852,0.5728416572363259,0.0,0.012261201690168082
123,High_Volatility,M1: Base-Stock,1,33206636.1926651,33206636.1926651,104711.15001459852,0.5728416572363259,0.0,0.012495887027495626
123,High_Volatility,M1: Base-Stock,2,35725537.89916992,35725537.89916992,104711.15001459852,0.5728416572363259,0.0,0.011522270409834518
123,High_Volatility,M1: Base-Stock,3,35737349.98220444,35737349.98220444,104711.15001459852,0.5728416572363259,0.0,0.011444954427361013
123,High_Volatility,M1: Base-Stock,4,33051867.458194733,33051867.458194733,104711.15001459852,0.5728416572363259,0.0,0.01250374408811715
123,High_Volatility,M1: Base-Stock,5,34573535.0287323,34573535.0287323,104711.15001459852,0.5728416572363259,0.0,0.011891153852350497
123,High_Volatility,M1: Base-Stock,6,34755399.88152504,34755399.88152504,104711.15001459852,0.5728416572363259,0.0,0.011791415932869562
123,High_Volatility,M1: Base-Stock,7,33248775.76409149,33248775.76409149,104711.15001459852,0.5728416572363259,0.0,0.0124287981620921
123,High_Volatility,M1: Base-Stock,8,33591292.66761589,33591292.66761589,104711.15001459852,0.5728416572363259,0.0,0.012303166792768438
123,High_Volatility,M1: Base-Stock,9,34154421.851335526,34154421.851335526,104711.15001459852,0.5728416572363259,0.0,0.01212177818399846
123,High_Volatility,M1: Base-Stock,10,34199983.37812233,34199983.37812233,104711.15001459852,0.5728416572363259,0.0,0.012007017516006762
123,High_Volatility,M1: Base-Stock,11,33341144.651992798,33341144.651992798,104711.15001459852,0.5728416572363259,0.0,0.012460514836313358
123,High_Volatility,M1: Base-Stock,12,33339313.402809143,33339313.402809143,104711.15001459852,0.5728416572363259,0.0,0.01234398690674638
123,High_Volatility,M1: Base-Stock,13,33748316.022182465,33748316.022182465,104711.15001459852,0.5728416572363259,0.0,0.012353639015771783
123,High_Volatility,M1: Base-Stock,14,34817061.75392532,34817061.75392532,104711.15001459852,0.5728416572363259,0.0,0.011761073844636712
123,High_Volatility,M1: Base-Stock,15,34187721.851955414,34187721.851955414,104711.15001459852,0.5728416572363259,0.0,0.012022722272779061
123,High_Volatility,M1: Base-Stock,16,35554784.97229767,35554784.97229767,104711.15001459852,0.5728416572363259,0.0,0.011486364223524254
123,High_Volatility,M1: Base-Stock,17,35025535.62907028,35025535.62907028,104711.15001459852,0.5728416572363259,0.0,0.01174884500829787
123,High_Volatility,M1: Base-Stock,18,31573110.644117355,31573110.644117355,104711.15001459852,0.5728416572363259,0.0,0.01331808667934681
123,High_Volatility,M1: Base-Stock,19,35169162.63556671,35169162.63556671,104711.15001459852,0.5728416572363259,0.0,0.011660436023908174
123,High_Volatility,M1: Base-Stock,20,35434719.53883362,35434719.53883362,104711.15001459852,0.5728416572363259,0.0,0.011688197143892569
123,High_Volatility,M1: Base-Stock,21,33718407.78807068,33718407.78807068,104711.15001459852,0.5728416572363259,0.0,0.012234947201003005
123,High_Volatility,M1: Base-Stock,22,34706382.929065704,34706382.929065704,104711.15001459852,0.5728416572363259,0.0,0.011880344852186371
123,High_Volatility,M1: Base-Stock,23,35170436.22281647,35170436.22281647,104711.15001459852,0.5728416572363259,0.0,0.011658920734932916
123,High_Volatility,M1: Base-Stock,24,33425452.56270027,33425452.56270027,104711.15001459852,0.5728416572363259,0.0,0.012398657495646075
