Metric,Mean,Std
total,34243186.27315422,970198.5826982728
operational,34243186.27315422,970198.5826982728
daily_sustain_net,104711.15001459853,1.4551915228366852e-11
bullwhip,0.0,0.0
inv_turnover,0.012059986700238692,0.00039615073597366423
sustainability_score,0.5728416572363257,1.1102230246251565e-16
